  2   27  0 18.9917475  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
     1.000000000    0.000000000    0.000000000
    -0.500000000    0.866025404    0.000000000
     0.000000000    0.000000000    1.990049767
           1  'Nb '    84678.6388502528
           2  'S  '    29220.9024340635
    1    1     -0.0000000255      0.1983590948      0.9950248757
    2    2      0.1663005750      0.0960128162      0.8422432619
    3    2      0.1663005751      0.0960128162      1.1478064893
    4    1     -0.1633629486      0.4830328447      0.9950248756
    5    2     -0.0000000012      0.3854483971      0.8370672100
    6    2     -0.0000000012      0.3854483972      1.1529825413
    7    1     -0.3282177945      0.7668426903      0.9950248756
    8    2     -0.1661936542      0.6733034637      0.8370660554
    9    2     -0.1661936541      0.6733034637      1.1529836958
   10    1      0.3371496181      0.1946554296      0.9950248756
   11    2      0.5000000022      0.0940483458      0.8396842693
   12    2      0.5000000022      0.0940483457      1.1503654820
   13    1      0.1633629052      0.4830328426      0.9950248756
   14    2      0.3314486785      0.3859885846      0.8396828528
   15    2      0.3314486785      0.3859885846      1.1503668985
   16    1     -0.0000000106      0.7659814266      0.9950248756
   17    2      0.1661936656      0.6733034739      0.8370660651
   18    2      0.1661936657      0.6733034739      1.1529836862
   19    1      0.6628503997      0.1946554547      0.9950248757
   20    2      0.8336994076      0.0960128107      0.8422432428
   21    2      0.8336994076      0.0960128107      1.1478065084
   22    1      0.5000000368      0.4767195988      0.9950248756
   23    2      0.6685513320      0.3859885629      0.8396828217
   24    2      0.6685513321      0.3859885629      1.1503669295
   25    1      0.3282178100      0.7668427149      0.9950248756
   26    2      0.4999999991      0.6739976211      0.8422401358
   27    2      0.4999999991      0.6739976211      1.1478096154
 F
   4   4   1
   1   1   1   1
   1   1   1   2.51158169606E-01
   2   1   1  -6.62920428372E-03
   3   1   1   3.50607670841E-04
   4   1   1  -6.62920428372E-03
   1   2   1  -5.70282575485E-03
   2   2   1  -5.70272352193E-03
   3   2   1   1.35082321408E-04
   4   2   1   1.35088347077E-04
   1   3   1  -3.82076828718E-05
   2   3   1  -7.75268310954E-05
   3   3   1  -3.81890897602E-05
   4   3   1  -7.75268310954E-05
   1   4   1  -5.70282575485E-03
   2   4   1   1.35088347077E-04
   3   4   1   1.35082321408E-04
   4   4   1  -5.70272352193E-03
   1   1   1   2
   1   1   1  -3.75008591751E-02
   2   1   1   1.01747954966E-03
   3   1   1   6.56695671381E-05
   4   1   1   9.05631056829E-04
   1   2   1   4.54098500426E-04
   2   2   1   2.58278732782E-04
   3   2   1  -1.55826700796E-04
   4   2   1   6.03080037046E-05
   1   3   1  -4.63802290101E-06
   2   3   1  -5.54287587639E-05
   3   3   1   9.93910860351E-05
   4   3   1  -8.34813039275E-05
   1   4   1   1.77483894448E-04
   2   4   1   1.30025602862E-04
   3   4   1   2.27981792225E-05
   4   4   1  -2.66972794036E-04
   1   1   1   3
   1   1   1  -3.75008590726E-02
   2   1   1   1.01747953105E-03
   3   1   1   6.56695493125E-05
   4   1   1   9.05631025962E-04
   1   2   1   4.54098482673E-04
   2   2   1   2.58278709280E-04
   3   2   1  -1.55826725144E-04
   4   2   1   6.03079892058E-05
   1   3   1  -4.63800491567E-06
   2   3   1  -5.54287317050E-05
   3   3   1   9.93910808554E-05
   4   3   1  -8.34812899053E-05
   1   4   1   1.77483872512E-04
   2   4   1   1.30025598115E-04
   3   4   1   2.27981975407E-05
   4   4   1  -2.66972858459E-04
   1   1   1   4
   1   1   1   2.54361137138E-03
   2   1   1  -1.26410592206E-03
   3   1   1   3.92828031595E-04
   4   1   1   5.87003851271E-03
   1   2   1  -9.72733573017E-04
   2   2   1   3.62578614530E-03
   3   2   1  -1.11701676034E-04
   4   2   1   8.25841469387E-04
   1   3   1  -1.82068383071E-03
   2   3   1  -2.86069975989E-04
   3   3   1   9.83896317035E-04
   4   3   1   9.40760855825E-05
   1   4   1  -3.28696629994E-03
   2   4   1   5.08889019712E-05
   3   4   1  -4.71817997011E-04
